Time,Avg_Sin_Phases
35096,-0.2919490511614809
35097,-0.29209636539829725
35098,-0.2922433092767667
35099,-0.29239001660411124
35100,-0.29253660078639837
35101,-0.29268315693594105
35102,-0.2928297638916172
35103,-0.2929764860958156
35104,-0.29312337540302635
35105,-0.29327047276906965
35106,-0.29341780973790743
35107,-0.2935654097895812
35108,-0.2937132896194138
35109,-0.2938614601716679
35110,-0.29400992756149597
35111,-0.2941586939034305
35112,-0.2943077581879834
35113,-0.294457116719007
35114,-0.2946067636797044
35115,-0.29475669163843954
35116,-0.29490689196829595
35117,-0.29505735504448477
35118,-0.2952080705577321
35119,-0.29535902784364837
35120,-0.29551021597968885
35121,-0.29566162390866546
35122,-0.29581324059275704
35123,-0.2959650551942933
35124,-0.2961170570503546
35125,-0.2962692357517832
35126,-0.2964215812110998
35127,-0.29657408372200866
35128,-0.29672673393690735
35129,-0.29687952289584585
35130,-0.2970324420479428
35131,-0.29718548325662336
35132,-0.2973386387849587
35133,-0.29749190129201836
35134,-0.29764526383063483
35135,-0.2977987198299569
35136,-0.29795226309443706
35137,-0.2981058877977893
35138,-0.2982595884827778
35139,-0.29841336003178226
35140,-0.29856719759537464
35141,-0.29872109663542334
35142,-0.29887505292663064
35143,-0.29902906253296246
35144,-0.2991831217959552
35145,-0.29933722724508954
35146,-0.2994913756543363
35147,-0.29964556404673964
35148,-0.2997997896688511
35149,-0.2999540499804821
35150,-0.30010834257445534
35151,-0.30026266523429357
35152,-0.3004170159210927
35153,-0.30057139276721284
35154,-0.30072579406806216
35155,-0.3008802182076719
35156,-0.3010346637151403
35157,-0.30118912926540553
35158,-0.30134361366013096
35159,-0.3014981158003567
35160,-0.30165263461272446
35161,-0.3018071691590118
35162,-0.3019617186246975
35163,-0.3021162822959761
35164,-0.30227085955954286
35165,-0.30242544990119347
35166,-0.302580052891671
35167,-0.30273466814016264
35168,-0.3028892950952313
35169,-0.3030439334213456
35170,-0.3031985828684492
35171,-0.30335324325192703
35172,-0.3035079144503542
35173,-0.30366259639082627
35174,-0.3038172890757888
35175,-0.30397199246632733
